NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Ezekiel Elliott,DAL,RB,16.00,0.00,0.00,0.00,1181.00,7.00,64.00,492.00,3.00,18.00,287.30
Le'Veon Bell,NYJ,RB,16.00,0.00,0.00,0.00,1045.00,7.00,62.00,512.00,3.00,17.10,273.70
David Johnson,ARI,RB,16.00,0.00,0.00,0.00,1058.00,6.00,58.00,552.00,3.00,16.70,267.00
James Conner,PIT,RB,16.00,0.00,0.00,0.00,1092.00,9.00,51.00,448.00,2.00,16.70,267.00
Dalvin Cook,MIN,RB,16.00,0.00,0.00,0.00,1129.00,7.00,52.00,406.00,3.00,16.30,261.50
Joe Mixon,CIN,RB,16.00,0.00,0.00,0.00,1191.00,8.00,47.00,358.00,1.00,15.70,251.90
Todd Gurley II,LAR,RB,16.00,0.00,0.00,0.00,987.00,9.00,44.00,412.00,2.00,15.50,247.90
Nick Chubb,CLE,RB,16.00,0.00,0.00,0.00,1206.00,8.00,36.00,298.00,2.00,15.30,244.40
Leonard Fournette,JAX,RB,16.00,0.00,0.00,0.00,943.00,8.00,49.00,408.00,2.00,15.00,240.10
Josh Jacobs,LV,RB,16.00,0.00,0.00,0.00,997.00,7.00,45.00,353.00,2.00,14.40,230.00
Kerryon Johnson,DET,RB,16.00,0.00,0.00,0.00,960.00,6.00,51.00,374.00,2.00,14.30,228.40
Aaron Jones,GB,RB,16.00,0.00,0.00,0.00,1015.00,8.00,38.00,299.00,2.00,14.20,227.40
Chris Carson,SEA,RB,16.00,0.00,0.00,0.00,1126.00,8.00,33.00,266.00,1.00,13.90,222.20
Devonta Freeman,ATL,RB,16.00,0.00,0.00,0.00,890.00,7.00,43.00,354.00,2.00,13.70,219.40
Damien Williams,KC,RB,16.00,0.00,0.00,0.00,736.00,7.00,48.00,364.00,3.00,13.50,216.00
Derrick Henry,TEN,RB,16.00,0.00,0.00,0.00,1143.00,11.00,19.00,142.00,0.00,13.20,211.50
James White,NE,RB,16.00,0.00,0.00,0.00,279.00,3.00,72.00,631.00,4.00,12.70,203.00
Duke Johnson,HOU,RB,16.00,0.00,0.00,0.00,722.00,4.00,53.00,437.00,2.00,12.70,202.90
David Montgomery,CHI,RB,16.00,0.00,0.00,0.00,860.00,8.00,35.00,302.00,1.00,12.60,201.20
Marlon Mack,IND,RB,16.00,0.00,0.00,0.00,1078.00,8.00,25.00,173.00,1.00,12.50,200.10
Mark Ingram II,BAL,RB,16.00,0.00,0.00,0.00,971.00,8.00,28.00,209.00,1.00,12.20,196.00
Sony Michel,NE,RB,16.00,0.00,0.00,0.00,1072.00,10.00,14.00,118.00,1.00,12.20,195.00
Phillip Lindsay,DEN,RB,16.00,0.00,0.00,0.00,867.00,7.00,37.00,246.00,1.00,12.10,194.30
Melvin Gordon III,LAC,RB,16.00,0.00,0.00,0.00,731.00,6.00,37.00,346.00,2.00,11.90,190.70
Kenyan Drake,MIA,RB,16.00,0.00,0.00,0.00,604.00,4.00,49.00,408.00,2.00,11.40,182.20
Tevin Coleman,SF,RB,16.00,0.00,0.00,0.00,790.00,5.00,32.00,283.00,2.00,11.20,179.30
Austin Ekeler,LAC,RB,16.00,0.00,0.00,0.00,580.00,4.00,45.00,421.00,2.00,11.20,179.10
Tarik Cohen,CHI,RB,16.00,0.00,0.00,0.00,314.00,2.00,58.00,545.00,3.00,10.70,171.90
Derrius Guice,WAS,RB,16.00,0.00,0.00,0.00,793.00,6.00,29.00,235.00,1.00,10.60,169.80
Miles Sanders,PHI,RB,16.00,0.00,0.00,0.00,723.00,4.00,32.00,262.00,1.00,9.90,158.50
Matt Breida,SF,RB,16.00,0.00,0.00,0.00,643.00,4.00,31.00,269.00,1.00,9.40,150.20
Devin Singletary,BUF,RB,16.00,0.00,0.00,0.00,678.00,3.00,29.00,239.00,1.00,8.90,142.70
Rashaad Penny,SEA,RB,16.00,0.00,0.00,0.00,676.00,4.00,24.00,180.00,1.00,8.60,137.60
Kalen Ballage,MIA,RB,16.00,0.00,0.00,0.00,639.00,4.00,25.00,195.00,1.00,8.40,134.40
Latavius Murray,NO,RB,16.00,0.00,0.00,0.00,661.00,5.00,20.00,138.00,1.00,8.40,133.90
Peyton Barber,TB,RB,16.00,0.00,0.00,0.00,708.00,5.00,20.00,148.00,0.00,8.30,133.60
LeSean McCoy,KC,RB,16.00,0.00,0.00,0.00,501.00,3.00,29.00,252.00,2.00,8.30,132.30
