Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Ameer Abdullah,LV,RB,17,0,0,0,108,0.2,15.5,111.8,0.2,2.3,854.8
Jeremy McNichols,WAS,RB,17,0,0,0,95.9,0,12.8,106.2,0.9,2.3,853.3
Nyheim Hines,CLE,RB,17,0,0,0,76,0.7,14.6,104.3,0.2,2.2,852.9
D'Ernest Johnson,JAX,RB,17,0,0,0,177.7,0.9,7.8,55.8,0.2,2.2,852.7
Isaiah Davis,NYJ,RB,17,0,0,0,187.4,1.2,6.3,42.7,0.1,2.2,852
Rasheen Ali,BAL,RB,17,0,0,0,175.7,1.1,6.8,51.2,0.1,2.1,851.6
Michael Carter,ARI,RB,17,0,0,0,138.3,0.8,10.6,68.6,0.1,2.1,851.6
Israel Abanikanda,NYJ,RB,17,0,0,0,169.5,1,7,46.4,0.2,2.1,850.7
Kevin Harris,NE,RB,17,0,0,0,147.8,1.3,7.1,53,0.1,2.1,850.5
Trayveon Williams,CIN,RB,17,0,0,0,147.4,0.9,8,53,0.1,2,849
Dylan Laube,LV,RB,17,0,0,0,114.6,0.6,9.9,73.3,0.2,2,848.4
Royce Freeman,DAL,RB,17,0,0,0,174.3,1.1,5,33.5,0.1,1.9,847.9
Emani Bailey,KC,RB,17,0,0,0,139.5,0.9,7.1,53.4,0,1.9,846.7
Kendall Milton,PHI,RB,17,0,0,0,142,2,2,24,0,1.8,845.5
Cordarrelle Patterson,PIT,RB,17,0,0,0,124.6,0.8,7,51.8,0.1,1.8,845
Jase McClellan,ATL,RB,17,0,0,0,119.7,0.9,5.6,44.2,0.4,1.8,844.7
Dare Ogunbowale,HOU,RB,17,0,0,0,90.5,0.4,9.5,70.1,0.1,1.7,843.5
Travis Kelce,KC,TE,17,0,0,0,0.8,0,89.3,968.4,6.3,13.1,1030.5
Sam LaPorta,DET,TE,17,0,0,0,0,0,81.6,848.8,7.9,12.6,1020.3
Mark Andrews,BAL,TE,17,0,0,0,0,0,70.6,842,8.2,12,1010.4
Trey McBride,ARI,TE,17,0,0,0,0,0,79.7,836.3,5,11.4,999.8
Dalton Kincaid,BUF,TE,17,0,0,0,0,0,77.6,781.5,5.5,11.1,995.2
Evan Engram,JAX,TE,17,0,0,0,0,0,85.5,771.7,4.1,11,993.7
George Kittle,SF,TE,17,0,0,0,0.9,0,61.1,848.7,5.7,10.6,986.7
David Njoku,CLE,TE,17,0,0,0,0,0,67.4,746.9,5.5,10.3,981.5
Kyle Pitts,ATL,TE,17,0,0,0,0,0,64.1,820.7,4.7,10.2,980.8
Jake Ferguson,DAL,TE,17,0,0,0,0,0,67.1,707.9,6,10.2,980.3
Dallas Goedert,PHI,TE,17,0,0,0,0,0,63.5,695.8,4,9.2,963.5
Brock Bowers,LV,TE,17,0,0,0,0,0,59,678,4.5,9,960.2
Dalton Schultz,HOU,TE,17,0,0,0,0,0,55.2,589.6,4.9,8.4,950
Cole Kmet,CHI,TE,17,0,0,0,0.1,0,55.5,549.2,3.9,7.9,940.3
T.J. Hockenson,MIN,TE,17,0,0,0,0,0,56.3,571.9,3.3,7.8,939.7
Pat Freiermuth,PIT,TE,17,0,0,0,0,0,51.8,537.1,4.2,7.7,937.1
Tyler Conklin,NYJ,TE,17,0,0,0,0,0,50.3,507.6,3.3,7.1,927.3
Luke Musgrave,GB,TE,17,0,0,0,0,0,47,505.8,3.3,6.9,923.8
Chigoziem Okonkwo,TEN,TE,17,0,0,0,0.7,0,48.9,520,2.4,6.8,921.8
Hunter Henry,NE,TE,17,0,0,0,0,0,42.8,454.4,4.3,6.7,920.5
Juwan Johnson,NO,TE,17,0,0,0,0,0,41.9,443,4.2,6.5,917.8
